Id,Id2,City_State,Population,NoHighSchoolDiploma,HighSchoolDiploma,SomeCollegeAssoc,BachelorsOrhigher,MedianIncome,EnglishOnly,LanguageNotEnglish,Spanish,AsianLanguages,AllAvailableUnits,Median_Rent
310M200US33660,33660,"Minneapolis, MN",414045,21.3,31,40.5,7.2,31986,95,5,2.3,1.3,25877,500-549
310M200US33700,33700,"Missoula, MT",522794,13.4,37.4,45.8,3.4,31605,59.5,40.5,31.7,2.8,11808,1000-1249
310M200US33740,33740,"Mobile, AL",177908,18.3,31.4,45.6,4.7,31419,97.4,2.6,1.6,0.4,10314,400-449
310M200US33780,33780,"Modesto, CA",150851,13.5,35.3,45.6,5.6,36859,96.7,3.3,1.4,0.4,4861,800-899
310M200US33860,33860,"Monroe, LA",375225,21.6,32.1,39.5,6.7,33085,95.4,4.6,2.3,1.3,20779,700-749
310M200US34060,34060,"Monroe, MI",134052,5,25.5,55.4,14,34093,95.4,4.6,1.4,1.3,9527,500-549
310M200US34100,34100,"Montgomery, AL",115029,12.5,41,41.7,4.8,28444,92.7,7.3,6.1,0.4,6207,400-449
310M200US34580,34580,"Morgantown, WV",118364,28,32.9,35.5,3.6,34324,85.3,14.7,11.4,1.3,6351,2000+
310M200US34620,34620,"Morristown, TN",117441,8.8,20.4,62.8,8,30714,96.8,3.2,1.4,0.6,6113,400-449
310M200US34740,34740,"Mount Vernon, WA",171328,18.9,36,41.5,3.6,29812,95.8,4.2,2.4,0.4,8479,500-549
310M200US34820,34820,"Muncie, IN",396187,16.8,32.7,43.4,7.1,26617,92.5,7.5,4.9,0.8,104320,2000+
310M200US34900,34900,"Muskegon, MI",139253,15.8,29.8,48.4,6,39383,64.6,35.4,27.9,4.7,5372,2000+
310M200US34940,34940,"Myrtle Beach, SC",334474,21.8,36.8,35.4,5.9,29111,68.1,31.9,23.2,1,73487,800-899
310M200US34980,34980,"Napa, CA",1730515,12.6,32.3,43.2,11.9,35575,90,10,5.7,1.5,61101,650-699
310M200US35100,35100,"Naples, FL",127820,12.6,40.8,42.6,4,30158,92.2,7.8,5.1,1.9,8786,500-549
310M200US35300,35300,"Nashville, TN",863148,13.2,29.6,43.7,13.4,42783,78.5,21.5,12.1,2.3,35116,800-899
310M200US35380,35380,"New Bern, NC",1226440,19.8,29.1,41.6,9.5,35081,88.8,11.2,6.5,2.2,79411,800-899
310M200US35620,35620,"New Haven, CT",19865045,14.1,25.8,44.3,15.9,43522,61.5,38.5,19.5,6.1,729575,1000-1249
310M200US35660,35660,"New Orleans, LA",155992,18.4,34.7,40.4,6.6,31044,92.2,7.8,3.7,1.1,16490,500-549
310M200US35840,35840,"New York City, NY",722784,20.1,38.1,36.2,5.6,30921,85.4,14.6,9,1,98369,2000+
310M200US35980,35980,"Niles , MI",274071,9.2,36.7,41.7,12.3,41991,86.6,13.4,6.1,2.7,14214,1000-1249
310M200US36100,36100,"North Port, FL",334771,23.5,39.2,34.3,3,26683,88.2,11.8,9.2,0.7,30594,650-699
310M200US36140,36140,"Norwich, CT",96286,13,34.4,43.1,9.4,36458,89.9,10.1,5.2,0.8,57561,1000-1249
310M200US36220,36220,"Ocala, FL",144932,25.3,34.8,34.2,5.7,36795,56,44,42.4,0.7,4334,800-899
310M200US36260,36260,"Ocean City, NJ",614521,14.6,35.2,46.2,4,37181,89.5,10.5,7.7,1.3,12525,650-699
310M200US36420,36420,"Odessa, TX",1297998,14.7,29.1,47.3,8.9,34136,87.3,12.7,8.7,2.3,57080,500-549
310M200US36500,36500,"Ogden, UT",259330,15.8,30.3,46.9,7,41685,88.9,11.1,4.3,4.7,8543,1000-1249
310M200US36540,36540,"Oklahoma City, OK",886157,13,26.9,48,12.1,37132,89.1,10.9,7,1.4,27366,800-899
310M200US36740,36740,"Olympia, WA",2226835,14.1,26.5,49.7,9.7,31331,70.1,29.9,22.1,2.2,175536,1000-1249
310M200US36780,36780,"Omaha, NE",168413,7.6,29.2,56.6,6.7,36302,94.8,5.2,2.3,1.6,5277,600-649
310M200US36980,36980,"Orlando, FL",115795,12.2,30.1,51.1,6.6,32064,96.7,3.3,2.1,0.4,4857,400-449
310M200US37100,37100,"Oshkosh, WI",835790,14.1,28.1,50.2,7.6,39641,61.8,38.2,30.2,4.5,15218,2000+
310M200US37340,37340,"Owensboro, KY",548891,14.6,30.7,46.8,7.8,32083,89.8,10.2,5.8,1.3,49423,600-649
310M200US37460,37460,"Oxnard, CA",188769,18.8,31.3,43.7,6.2,30105,94,6,2.8,1.6,36254,1000-1249
310M200US37620,37620,"Palm Bay, FL",92405,17.4,34.9,42.6,5.1,30936,98.3,1.7,0.8,0.5,5125,400-449
310M200US37860,37860,"Panama City, FL",462339,13.8,33.8,45.9,6.5,32045,92.6,7.4,3.2,2,33772,1000-1249
310M200US37900,37900,"Parkersburg, WV",380241,13.6,29.1,47.2,10.1,36769,94.7,5.3,2.3,1.1,12849,500-549
310M200US37980,37980,"Pensacola, FL",6015336,13.3,30.8,42.7,13.2,42482,84.8,15.2,6.4,3.4,211100,1000-1249
310M200US38060,38060,"Peoria, IL",4337542,18.1,31.5,42.9,7.5,36513,74.2,25.8,20.1,2.3,269793,800-899
310M200US38220,38220,"Philadelphia, PA",97365,18.2,31.1,46.2,4.5,30626,97,3,1.8,0.3,6106,350-399
310M200US38300,38300,"Phoenix, AZ",2358793,11.3,28.6,44.4,15.7,37162,94.9,5.1,1.1,1.2,113984,500-549
310M200US38340,38340,"Pine Bluff, AR",130064,12,28.9,49.5,9.6,33688,92.3,7.7,3.3,0.8,13060,650-699
310M200US38540,38540,"Pittsburgh, PA",83394,9.4,32.9,51.2,6.5,29117,93,7,3.4,0.9,2995,250-299
310M200US38860,38860,"Pittsfield, MA",518387,10.3,31.1,45.1,13.5,36524,92.6,7.4,1.2,1.2,50136,800-899
310M200US38900,38900,"Pocatello, ID",2288796,14.3,29.6,46.6,9.5,36879,82.3,17.7,8.3,4.6,55810,800-899
310M200US38940,38940,"Port, FL",433646,20.9,33.7,39.6,5.8,30091,81.9,18.1,12.8,0.9,47589,800-899
310M200US39140,39140,"Portland, ME",213689,23.1,26.5,46.4,3.9,27031,89.8,10.2,7.8,0.3,19783,800-899
310M200US39300,39300,"Portland, OR",1604317,11.7,29.2,47.4,11.7,39953,79,21,8.9,1.9,73091,800-899
310M200US39340,39340,"Prescott, AZ",550774,9.7,20.5,62.6,7.2,35175,86.9,13.1,9.4,1.7,7541,1000-1249
310M200US39380,39380,"Providence, RI",160757,21.4,28.6,43.9,6.1,31047,85.1,14.9,12.9,0.4,6955,550-599
310M200US39460,39460,"Provo, UT",163151,22.9,38,34.4,4.7,26387,89.2,10.8,5.6,1,30011,750-799
310M200US39540,39540,"Pueblo, CO",195039,19.8,36,37.5,6.6,37008,91.4,8.6,6.4,0.7,7145,650-699
310M200US39580,39580,"Punta Gorda, FL",1189579,14.4,23.4,48.9,13.3,40302,84.4,15.6,8.8,2.7,40147,1000-1249
310M200US39660,39660,"Racine, WI",139040,14.4,30.6,50.2,4.8,31478,95.9,4.1,1.4,0.7,6680,600-649
310M200US39740,39740,"Raleigh, NC",413016,15,34.4,43.2,7.4,36803,82.9,17.1,13.1,0.9,10965,500-549
310M200US39820,39820,"Rapid City, SD",178520,12.3,27.5,55.8,4.5,31231,91.6,8.4,4.6,1.9,8686,1000-1249
310M200US39900,39900,"Reading, PA",433919,15.7,27,48.5,8.8,34053,76.9,23.1,16.7,3.7,21397,1000-1249
310M200US40060,40060,"Redding, CA",1234058,13.3,31.5,43.8,11.4,39446,90.2,9.8,4.4,2.1,48703,1000-1249
310M200US40140,40140,"Reno, NV",4345485,17.4,34.4,43.3,5,33838,59.5,40.5,33.4,4.4,216171,1000-1249
310M200US40220,40220,"Richmond, VA",310934,12.1,35.8,43.8,8.4,34352,93.7,6.3,2.8,0.9,16414,600-649
310M200US40340,40340,"Riverside, CA",210004,14.9,28,43,14.1,40497,90.1,9.9,2.9,2.8,6268,800-899
310M200US40380,40380,"Roanoke, VA",1082578,12,24.8,52,11.2,37135,89.2,10.8,4.6,1.8,42545,800-899
310M200US40420,40420,"Rochester, MN",346031,19.8,34.3,38.2,7.7,33449,86.2,13.8,9.6,1.5,14074,500-549
310M200US40580,40580,"Rochester, NY",150953,25.2,30.2,38.5,6.1,28859,94.1,5.9,4.8,0.3,8926,400-449
310M200US40660,40660,"Rockford, IL",96146,19.8,30.7,42.4,7.1,29214,90,10,8.5,0.5,5681,400-449
310M200US40900,40900,"Rocky Mount, NC",2197422,12.4,28.7,51,8,39571,72.6,27.4,12.3,8,86313,800-899
310M200US40980,40980,"Rome, GA",197727,15.8,28,50.2,6,30588,94.9,5.1,2.5,0.8,9225,550-599
310M200US41060,41060,"Sacramento, CA",190708,7.4,16.6,68.6,7.4,35645,93.2,6.8,2.1,1.3,6443,1000-1249
310M200US41100,41100,"Saginaw, MI",144844,14,34.5,47.8,3.7,28454,91.3,8.7,6.4,1,11892,700-749
310M200US41140,41140,"Salem, OR",127637,17.9,35.7,40.5,6,31233,95.6,4.4,2.5,0.7,6612,450-499
310M200US41180,41180,"Salinas, CA",2797737,13.8,28.7,46.5,11,37749,93.7,6.3,2,1.4,126988,600-649
310M200US41420,41420,"Salisbury, MD",396912,15.9,34.5,45.3,4.3,30012,77.4,22.6,17.9,1.8,10015,650-699
310M200US41500,41500,"Salt Lake City, UT",424927,23.1,26.9,45.3,4.8,29492,47.2,52.8,46.2,3.9,14479,1000-1249
310M200US41540,41540,"San Angelo, TX",381868,14.2,31.5,46.7,7.5,32909,90.7,9.3,5.6,1,90546,2000+
310M200US41620,41620,"San Antonio, TX",1123643,14.8,31.8,46.6,6.9,35558,80.5,19.5,12.7,3.3,23220,1000-1249
310M200US41660,41660,"San Diego, CA",115142,11.9,32.3,49.6,6.2,29940,76.3,23.7,22.4,0.7,4908,600-649
310M200US41700,41700,"San Francisco, CA",2239222,17,31.9,44.2,6.9,33151,62.2,37.8,34.5,1.5,79380,800-899
310M200US41740,41740,"San Jose, CA",3183143,11.4,31.3,47.6,9.7,39671,62.7,37.3,24.6,8,91090,1000-1249
310M200US41860,41860,"San Luis, CA",4466251,11.4,24.4,48.5,15.7,48583,59.5,40.5,16.2,16.8,112428,1500-1999
310M200US41940,41940,"Santa Cruz, CA",1898457,11.5,26.1,46.9,15.4,52210,48.8,51.2,19.4,22.7,26562,2000+
310M200US42020,42020,"Santa Fe, NM",274184,6,19.4,66.9,7.6,36804,81.9,18.1,14.1,1.7,15859,2000+
310M200US42100,42100,"Santa Maria, CA",267203,8.2,22.1,61.5,8.2,37828,68.4,31.6,25.9,2.6,10652,2000+
310M200US42140,42140,"Santa Rosa, CA",146361,28.1,25.4,39.3,7.1,32793,64.6,35.4,31.6,0.8,10241,900-999
310M200US42200,42200,"Savannah, GA",431555,12.6,18.3,60.4,8.7,34637,60.4,39.6,32.7,3.4,11537,1500-1999
310M200US42220,42220,"Scranton, PA",491790,13.9,27.5,52.9,5.7,38423,74.3,25.7,19.6,2.7,18824,1000-1249
310M200US42340,42340,"Seattle, WA",361161,16.4,30.2,46.8,6.6,34092,92.4,7.6,4.3,1.5,20582,1000-1249
310M200US42540,42540,"Sebastian, FL",562644,12.8,27.9,49,10.4,33093,91.3,8.7,5.1,0.6,33029,450-499
310M200US42660,42660,"Sebring, FL",3557037,14.6,28.2,43.4,13.7,44425,77.8,22.2,6.4,8.9,102720,1000-1249
310M200US42680,42680,"Sheboygan, WI",140918,23.1,33.6,38.1,5.2,27178,85.7,14.3,10,0.6,19444,650-699
310M200US42700,42700,"Sherman, TX",98261,36.6,30.1,31.8,1.5,23218,81.2,18.8,15.9,1.1,15268,500-549
310M200US43100,43100,"Shreveport, City",115168,14,38.2,37.7,10.1,34801,90.1,9.9,4,3.9,4266,500-549
310M200US43300,43300,"Sierra Vista, AZ",121975,23.4,25.7,46.8,4.1,32809,89.8,10.2,8.5,0.5,7324,550-599
310M200US43340,43340,"Sioux City, IA",445305,22.3,32.2,39.5,6.1,32642,95.6,4.4,2.4,0.8,25093,550-599
310M200US43420,43420,"Sioux Falls, SD",130807,18.8,36.3,40.4,4.5,30005,72.3,27.7,24.1,1.4,10956,400-449
310M200US43580,43580,"South Bend, IN",168824,16.1,32.7,45.4,5.9,31817,85.1,14.9,11.8,1.7,4724,700-749
310M200US43620,43620,"Spartanburg, SC",238294,15.1,27.5,47.4,10,35385,92.1,7.9,3.2,1,6260,650-699
310M200US43780,43780,"Spokane, WA",318917,15.5,31.5,44,9.1,31619,91.6,8.4,4.9,0.9,19495,550-599
310M200US43900,43900,"Springfield, IL",317057,15.6,32.7,43.5,8.2,31776,91.1,8.9,5.1,1.4,17345,400-449
310M200US44060,44060,"Springfield, MA",533456,12.2,28.8,51,8,33959,92.8,7.2,2,1.5,21861,550-599
310M200US44100,44100,"Springfield, MO",211466,13.8,26.6,46.2,13.4,37407,95.2,4.8,1.6,0.9,7750,650-699
310M200US44140,44140,"Springfield, OH",626775,13.1,22,57.2,7.7,39482,79,21,13.2,1.6,18247,800-899
310M200US44180,44180,"St. Cloud, MN",444728,10,26.4,54.7,8.9,30751,95,5,1.8,0.9,17169,450-499
310M200US44220,44220,"St. George, UT",137303,19,32.5,44.1,4.4,31444,95.9,4.1,2.5,0.4,6277,500-549
310M200US44300,44300,"St. Joseph, MO",156240,5,22.8,62.4,9.8,35749,90,10,1.6,3.9,6760,1500-1999
