Id,Id2,City_State,NoHighSchoolDiploma,HighSchoolDiploma,SomeCollegeAssoc,BachelorsOrhigher,MedianIncome
310M200US39380,39380,"Providence, RI",21.4,28.6,43.9,6.1,31047
310M200US39460,39460,"Provo, UT",22.9,38,34.4,4.7,26387
310M200US39540,39540,"Pueblo, CO",19.8,36,37.5,6.6,37008
310M200US39580,39580,"Punta Gorda, FL",14.4,23.4,48.9,13.3,40302
310M200US39660,39660,"Racine, WI",14.4,30.6,50.2,4.8,31478
310M200US39740,39740,"Raleigh, NC",15,34.4,43.2,7.4,36803
310M200US39820,39820,"Rapid City, SD",12.3,27.5,55.8,4.5,31231
310M200US39900,39900,"Reading, PA",15.7,27,48.5,8.8,34053
310M200US40060,40060,"Redding, CA",13.3,31.5,43.8,11.4,39446
310M200US40140,40140,"Reno, NV",17.4,34.4,43.3,5,33838
310M200US40220,40220,"Richmond, VA",12.1,35.8,43.8,8.4,34352
310M200US40340,40340,"Riverside, CA",14.9,28,43,14.1,40497
310M200US40380,40380,"Roanoke, VA",12,24.8,52,11.2,37135
310M200US40420,40420,"Rochester, MN",19.8,34.3,38.2,7.7,33449
310M200US40580,40580,"Rochester, NY",25.2,30.2,38.5,6.1,28859
310M200US40660,40660,"Rockford, IL",19.8,30.7,42.4,7.1,29214
310M200US40900,40900,"Rocky Mount, NC",12.4,28.7,51,8,39571
310M200US40980,40980,"Rome, GA",15.8,28,50.2,6,30588
310M200US41060,41060,"Sacramento, CA",7.4,16.6,68.6,7.4,35645
310M200US41100,41100,"Saginaw, MI",14,34.5,47.8,3.7,28454
310M200US41140,41140,"Salem, OR",17.9,35.7,40.5,6,31233
310M200US41180,41180,"Salinas, CA",13.8,28.7,46.5,11,37749
310M200US41420,41420,"Salisbury, MD",15.9,34.5,45.3,4.3,30012
310M200US41500,41500,"Salt Lake City, UT",23.1,26.9,45.3,4.8,29492
310M200US41540,41540,"San Angelo, TX",14.2,31.5,46.7,7.5,32909
310M200US41620,41620,"San Antonio, TX",14.8,31.8,46.6,6.9,35558
310M200US41660,41660,"San Diego, CA",11.9,32.3,49.6,6.2,29940
310M200US41700,41700,"San Francisco, CA",17,31.9,44.2,6.9,33151
310M200US41740,41740,"San Jose, CA",11.4,31.3,47.6,9.7,39671
310M200US41860,41860,"San Luis, CA",11.4,24.4,48.5,15.7,48583
310M200US41940,41940,"Santa Cruz, CA",11.5,26.1,46.9,15.4,52210
310M200US42020,42020,"Santa Fe, NM",6,19.4,66.9,7.6,36804
310M200US42100,42100,"Santa Maria, CA",8.2,22.1,61.5,8.2,37828
310M200US42140,42140,"Santa Rosa, CA",28.1,25.4,39.3,7.1,32793
310M200US42200,42200,"Savannah, GA",12.6,18.3,60.4,8.7,34637
310M200US42220,42220,"Scranton, PA",13.9,27.5,52.9,5.7,38423
310M200US42340,42340,"Seattle, WA",16.4,30.2,46.8,6.6,34092
310M200US42540,42540,"Sebastian, FL",12.8,27.9,49,10.4,33093
310M200US42660,42660,"Sebring, FL",14.6,28.2,43.4,13.7,44425
310M200US42680,42680,"Sheboygan, WI",23.1,33.6,38.1,5.2,27178
310M200US42700,42700,"Sherman, TX",36.6,30.1,31.8,1.5,23218
310M200US43100,43100,"Shreveport, City",14,38.2,37.7,10.1,34801
310M200US43300,43300,"Sierra Vista, AZ",23.4,25.7,46.8,4.1,32809
310M200US43340,43340,"Sioux City, IA",22.3,32.2,39.5,6.1,32642
310M200US43420,43420,"Sioux Falls, SD",18.8,36.3,40.4,4.5,30005
310M200US43580,43580,"South Bend, IN",16.1,32.7,45.4,5.9,31817
310M200US43620,43620,"Spartanburg, SC",15.1,27.5,47.4,10,35385
310M200US43780,43780,"Spokane, WA",15.5,31.5,44,9.1,31619
310M200US43900,43900,"Springfield, IL",15.6,32.7,43.5,8.2,31776
310M200US44060,44060,"Springfield, MA",12.2,28.8,51,8,33959
310M200US44100,44100,"Springfield, MO",13.8,26.6,46.2,13.4,37407
310M200US44140,44140,"Springfield, OH",13.1,22,57.2,7.7,39482
310M200US44180,44180,"St. Cloud, MN",10,26.4,54.7,8.9,30751
310M200US44220,44220,"St. George, UT",19,32.5,44.1,4.4,31444
310M200US44300,44300,"St. Joseph, MO",5,22.8,62.4,9.8,35749
310M200US44420,44420,"St. Louis, MO",12.6,47.1,33.9,6.4,31908
310M200US44700,44700,"State College, PA",19.8,31,44.4,4.8,32916
310M200US44940,44940,"Staunton, VA",21.4,26,46.9,5.6,29132
310M200US45060,45060,"Stockton, CA",10.5,23,55.4,11.2,37768
310M200US45220,45220,"Sumter, SC",8.9,17,62.6,11.5,35310
310M200US45300,45300,"Syracuse, NY",16.3,32.4,43.4,8,33726
310M200US45460,45460,"Tallahassee, FL",14.3,31.3,48.2,6.2,30757
310M200US45500,45500,"Tampa, FL",17.1,39.2,40.7,3,30733
310M200US45540,45540,"Terre Haute, IN",34.3,41.3,22.6,1.8,22157
310M200US45780,45780,"Texarkana, TX",12.8,25.9,52.5,8.8,33576
310M200US45820,45820,"The Villages, FL",15.2,32.6,43.7,8.5,34512
310M200US45940,45940,"Toledo, OH",12,26.3,50.8,10.9,46211
310M200US46060,46060,"Topeka, KS",15.5,27.2,49.9,7.4,31773
310M200US46140,46140,"Trenton, NJ",18.8,33.5,40.2,7.5,34652
310M200US46220,46220,"Tucson, AZ",11.4,24.3,56.4,7.9,32250
310M200US46340,46340,"Tulsa, OK",15.8,28.8,47.1,8.3,32384
310M200US46520,46520,"Tuscaloosa, AL",7,36.7,47.7,8.6,39918
310M200US46540,46540,"Tyler, TX",13.1,28.3,49.6,9.1,33859
310M200US46660,46660,"Utica, NY",16,27,52,4.9,28340
310M200US46700,46700,"Valdosta, GA",14.5,32.5,47.3,5.7,41366
310M200US47020,47020,"Vallejo, CA",22.1,35.9,37,5,32449
310M200US47220,47220,"Victoria, TX",19.1,41.3,32.5,7.1,31500
310M200US47260,47260,"Vineland, NJ",10.2,32.7,49.1,8,37552
310M200US47300,47300,"Virginia Beach, VA",22.9,33.1,41.4,2.6,25999
310M200US47380,47380,"Visalia, CA",13.7,24.9,53.5,7.8,30465
