GISJOIN,,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,Cnty_Trct,NAME,Total,OnlyEnglish,Spanish,French,FrenchCreole,Italian,Portuguese,German,Yiddish,OtherWestGermanic,Scandinavian,Greek,Russian,Polish,Serbo-Croatian,OtherSlavic,Armenian,Persian,Gujarati,Hindi,Urdu,OtherIndic,OtherIndo-European,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,OtherAsian,Tagalog,OtherPacificIsland,Navajo,OtherNorthAmericanIndian,Hungarian,Arabic,Hebrew,AfricanLanguages,OtherUnspecified
3.60081E+12,,2010-2014,New York,36,Queens County,81,118100,81118100,"Census Tract 1181, Queens County, New York",1609,0.299,0.044,0,0,0.04,0,0,0,0,0,0.162,0,0.042,0,0,0,0,0.002,0,0,0,0.006,0.255,0,0.149,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,118500,81118500,"Census Tract 1185, Queens County, New York",2036,0.139,0.183,0,0,0.019,0,0,0,0,0,0.043,0.004,0.008,0.004,0,0.008,0,0,0,0.007,0,0.007,0.189,0,0.322,0,0,0,0,0,0.004,0.05,0,0,0,0,0,0,0.012,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,118700,81118700,"Census Tract 1187, Queens County, New York",2179,0.189,0.237,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0.005,0,0,0.017,0.068,0.013,0.296,0,0.132,0,0,0,0,0,0,0.008,0,0,0,0,0.017,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,118900,81118900,"Census Tract 1189, Queens County, New York",2566,0.154,0.06,0.002,0,0.002,0,0,0,0,0,0.013,0,0,0,0,0,0,0.007,0.012,0,0.063,0,0.562,0,0.123,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,119100,81119100,"Census Tract 1191, Queens County, New York",3222,0.243,0.257,0,0,0.002,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,0.013,0.292,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,119300,81119300,"Census Tract 1193, Queens County, New York",2096,0.334,0.092,0,0,0.007,0,0,0,0,0,0.03,0,0,0,0.012,0,0,0,0,0,0,0.01,0.282,0,0.221,0,0,0,0,0,0.003,0,0,0,0,0,0,0.008,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,119500,81119500,"Census Tract 1195, Queens County, New York",1283,0.392,0.26,0,0,0.004,0.004,0,0,0,0,0.003,0.001,0,0,0,0.028,0,0,0,0,0,0.019,0.187,0,0.083,0,0,0,0,0,0,0.019,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,119900,81119900,"Census Tract 1199, Queens County, New York",1517,0.265,0.08,0,0.013,0.007,0,0,0,0,0,0.033,0,0,0,0,0.005,0,0,0.003,0,0.206,0,0.25,0,0.127,0,0,0,0,0,0,0.001,0,0,0,0,0,0.01,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,120100,81120100,"Census Tract 1201, Queens County, New York",1646,0.156,0.063,0,0,0,0,0.006,0,0,0,0.002,0,0,0,0.012,0,0.014,0,0.015,0.026,0.049,0,0.472,0,0,0,0,0.005,0,0,0,0.171,0.004,0,0,0,0,0,0,0.006
3.60081E+12,,2010-2014,New York,36,Queens County,81,120300,81120300,"Census Tract 1203, Queens County, New York",1625,0.174,0.083,0,0,0,0.012,0,0,0,0,0.05,0,0,0,0,0,0,0.055,0.026,0.03,0.039,0,0.501,0.004,0,0,0,0,0,0,0,0.007,0.014,0,0,0,0.003,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,120500,81120500,"Census Tract 1205, Queens County, New York",2579,0.111,0.079,0,0,0.002,0,0,0,0.003,0,0,0.077,0,0,0,0,0,0,0,0.067,0.015,0.003,0.527,0,0.044,0,0,0,0,0,0.042,0.031,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,120700,81120700,"Census Tract 1207, Queens County, New York",2727,0.282,0.177,0.002,0,0.004,0,0.01,0,0,0,0.045,0.027,0.021,0.011,0.001,0,0.005,0.007,0.022,0,0,0.007,0.234,0.005,0.103,0,0,0.002,0,0,0.008,0.029,0,0,0,0,0,0,0,0
3.60081E+12,,2010-2014,New York,36,Queens County,81,121500,81121500,"Census Tract 1215, Queens County, New York",4127,0.192,0.169,0,0,0.027,0,0.002,0,0,0,0.007,0,0.006,0,0,0,0,0.004,0,0.023,0.014,0,0.441,0.024,0,0,0,0,0,0.007,0.023,0.036,0,0,0,0,0.018,0,0.007,0
